OBJECTID,Team_ID,Season,Parent_League,Parent_Team,League,Team,Team_1,Classification,Location_ID,City,State,Country,Lat,Long
1,1960_Alabama-Florida_Dothan,1960,National,STL,Alabama-Florida,Dothan,Dothan,D,Dothan_AL_US,Dothan,AL,US,31.223231,-85.390489
2,1960_Alabama-Florida_FortWaltonBeach,1960,American,WSH,Alabama-Florida,Fort Walton Beach,Fort Walton Beach,D,FortWaltonBeach_FL_US,Fort Walton Beach,FL,US,30.405755,-86.618842
3,1960_Alabama-Florida_Montgomery,1960,American,DET,Alabama-Florida,Montgomery,Montgomery,D,Montgomery_AL_US,Montgomery,AL,US,32.366966,-86.300648
4,1960_Alabama-Florida_PanamaCity,1960,National,LAD,Alabama-Florida,Panama City,Panama City,D,PanamaCity_FL_US,Panama City,FL,US,30.160083,-85.654573
5,1960_Alabama-Florida_Pensacola,1960,American,CWS,Alabama-Florida,Pensacola,Pensacola,D,Pensacola_FL_US,Pensacola,FL,US,30.421309,-87.216915
6,1960_Alabama-Florida_Selma,1960,American,CLE,Alabama-Florida,Selma,Selma,D,Selma_AL_US,Selma,AL,US,32.407359,-87.021101
15,1960_AmericanAssociation_Charleston,1960,American,WSH,American Association,Charleston,Charleston,AAA,Charleston_WV_US,Charleston,WV,US,38.350599,-81.633281
16,1960_AmericanAssociation_Dallas-FortWorth,1960,American,KC,American Association,Dallas-Fort Worth,Dallas-Fort Worth,AAA,Dallas_TX_US,Dallas,TX,US,32.776272,-96.796856
17,1960_AmericanAssociation_Denver,1960,American,DET,American Association,Denver,Denver,AAA,Denver_CO_US,Denver,CO,US,39.739154,-104.984703
18,1960_AmericanAssociation_Houston,1960,National,CHC,American Association,Houston,Houston,AAA,Houston_TX_US,Houston,TX,US,29.758938,-95.367697
19,1960_AmericanAssociation_Indianapolis,1960,National,PHI,American Association,Indianapolis,Indianapolis,AAA,Indianapolis_IN_US,Indianapolis,IN,US,39.768333,-86.15835
20,1960_AmericanAssociation_Louisville,1960,National,MIL,American Association,Louisville,Louisville,AAA,Louisville_KY_US,Louisville,KY,US,38.254238,-85.759407
21,1960_AmericanAssociation_Minneapolis,1960,American,BOS,American Association,Minneapolis,Minneapolis,AAA,Minneapolis_MN_US,Minneapolis,MN,US,44.9773,-93.265469
