Measure Names,Year of Season,Measure Values
Puerto Rico (Frk),1995,
Puerto Rico (Frk),1994,
Puerto Rico (Frk),1993,
Puerto Rico (Frk),1992,
Puerto Rico (Frk),1991,
Puerto Rico (Frk),1990,
Puerto Rico (Frk),1989,
Puerto Rico (Frk),1988,
Puerto Rico (Frk),1987,
Puerto Rico (Frk),1986,
Puerto Rico (Frk),1985,
Puerto Rico (Frk),1984,
Puerto Rico (Frk),1983,
Puerto Rico (Frk),1982,
Puerto Rico (Frk),1981,
Puerto Rico (Frk),1980,
Puerto Rico (Frk),1979,
Puerto Rico (Frk),1978,
Puerto Rico (Frk),1977,
Puerto Rico (Frk),1976,
Puerto Rico (Frk),1975,
Puerto Rico (Frk),1974,
Puerto Rico (Frk),1973,
Puerto Rico (Frk),1972,
Puerto Rico (Frk),1971,
Puerto Rico (Frk),1970,
Puerto Rico (Frk),1969,
Puerto Rico (Frk),1968,
Puerto Rico (Frk),1967,
Puerto Rico (Frk),1966,
Puerto Rico (Frk),1965,
Puerto Rico (Frk),1964,
Puerto Rico (Frk),1963,
Puerto Rico (Frk),1962,
Puerto Rico (Frk),1961,
Puerto Rico (Frk),1960,
Canada (Rk),2016,
Canada (Rk),2015,
Canada (Rk),2014,
Canada (Rk),2013,
Canada (Rk),2012,
Canada (Rk),2011,
Canada (Rk),2010,
Canada (Rk),2009,
Canada (Rk),2008,
Canada (Rk),2007,
Canada (Rk),2006,
Canada (Rk),2005,
Canada (Rk),2004,
Canada (Rk),2003,
Canada (Rk),2002,1
Canada (Rk),2001,1
Canada (Rk),2000,1
Canada (Rk),1999,1
Canada (Rk),1998,2
Canada (Rk),1997,2
Canada (Rk),1996,2
Canada (Rk),1995,2
Canada (Rk),1994,2
Canada (Rk),1993,2
Canada (Rk),1992,2
Canada (Rk),1991,1
Canada (Rk),1990,1
Canada (Rk),1989,1
Canada (Rk),1988,1
Canada (Rk),1987,1
Canada (Rk),1986,1
Canada (Rk),1985,1
Canada (Rk),1984,2
Canada (Rk),1983,3
Canada (Rk),1982,3
Canada (Rk),1981,3
Canada (Rk),1980,3
Canada (Rk),1979,3
Canada (Rk),1978,3
Canada (Rk),1977,3
Canada (Rk),1976,1
Canada (Rk),1975,1
Canada (Rk),1974,
Canada (Rk),1973,
Canada (Rk),1972,
Canada (Rk),1971,
Canada (Rk),1970,
Canada (Rk),1969,
Canada (Rk),1968,
Canada (Rk),1967,
Canada (Rk),1966,
Canada (Rk),1965,
Canada (Rk),1964,
Canada (Rk),1963,
Canada (Rk),1962,
Canada (Rk),1961,
Canada (Rk),1960,
Japan (Frk),2016,
Japan (Frk),2015,
Japan (Frk),2014,
Japan (Frk),2013,
Japan (Frk),2012,
Japan (Frk),2011,
Japan (Frk),2010,
Japan (Frk),2009,
Japan (Frk),2008,
Japan (Frk),2007,
Japan (Frk),2006,
Japan (Frk),2005,
Japan (Frk),2004,
Japan (Frk),2003,
Japan (Frk),2002,
Japan (Frk),2001,
Japan (Frk),2000,
Japan (Frk),1999,
Japan (Frk),1998,
Japan (Frk),1997,
Japan (Frk),1996,
Japan (Frk),1995,1
Japan (Frk),1994,
Japan (Frk),1993,
Japan (Frk),1992,
Japan (Frk),1991,
Japan (Frk),1990,
Japan (Frk),1989,
Japan (Frk),1988,
Japan (Frk),1987,
Japan (Frk),1986,
Japan (Frk),1985,
Japan (Frk),1984,
Japan (Frk),1983,
Japan (Frk),1982,
Japan (Frk),1981,
Japan (Frk),1980,
Japan (Frk),1979,
Japan (Frk),1978,
Japan (Frk),1977,
Japan (Frk),1976,
Japan (Frk),1975,
Japan (Frk),1974,
Japan (Frk),1973,
Japan (Frk),1972,
Japan (Frk),1971,
Japan (Frk),1970,
Japan (Frk),1969,
Japan (Frk),1968,
Japan (Frk),1967,
Japan (Frk),1966,
Japan (Frk),1965,
Japan (Frk),1964,
Japan (Frk),1963,
Japan (Frk),1962,
Japan (Frk),1961,
Japan (Frk),1960,
