OBJECTID,id_person,Season,classifica,league_nam,team_name,team_id,City_PoB,State_Pob,State_Abbr,Country_Po,Region_PoB,Group_PoB,PoB_Lat,PoB_Long
110106,175864,2016,MLB,National,LAD,2016_National_LAD,Nagua_MariaTrinidadSanchez_DO,Nagua, ,DO,Caribbean,Latin America and the Caribbean,19.375715,-69.850353
110109,175864,2016,MLB,National,LAD,2016_National_LAD,Nagua_MariaTrinidadSanchez_DO,Nagua, ,DO,Caribbean,Latin America and the Caribbean,19.375715,-69.850353
110137,175950,2016,MLB,American,TOR,2016_American_TOR,Sonora_Sonora_MX,Sonora,Sonora,MX,Central America,Latin America and the Caribbean,28.067167,-110.533833
110146,175950,2016,MLB,American,TOR,2016_American_TOR,Sonora_Sonora_MX,Sonora,Sonora,MX,Central America,Latin America and the Caribbean,28.067167,-110.533833
110410,176258,2016,MLB,American,DET,2016_American_DET,RioPiedras_PR,Rio Piedras, ,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
110413,176258,2016,MLB,American,DET,2016_American_DET,RioPiedras_PR,Rio Piedras, ,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
110420,176287,2016,MLB,National,SD,2016_National_SD,Orlando_FL_US,Orlando,FL,US,Northern America,Northern America,28.542118,-81.379046
110424,176287,2016,MLB,National,SD,2016_National_SD,Orlando_FL_US,Orlando,FL,US,Northern America,Northern America,28.542118,-81.379046
110532,176418,2016,MLB,National,COL,2016_National_COL,Corvallis_OR_US,Corvallis,OR,US,Northern America,Northern America,44.564566,-123.262043
110541,176418,2016,MLB,National,COL,2016_National_COL,Corvallis_OR_US,Corvallis,OR,US,Northern America,Northern America,44.564566,-123.262043
110633,176564,2016,MLB,American,TOR,2016_American_TOR,Mississauga_ON_CA,Mississauga,ON,CA,Northern America,Northern America,43.589285,-79.644165
110636,176564,2016,MLB,American,TOR,2016_American_TOR,Mississauga_ON_CA,Mississauga,ON,CA,Northern America,Northern America,43.589285,-79.644165
110698,176655,2016,MLB,American,NYY,2016_American_NYY,FortLauderdale_FL_US,Fort Lauderdale,FL,US,Northern America,Northern America,26.122308,-80.143379
110705,176655,2016,MLB,American,NYY,2016_American_NYY,FortLauderdale_FL_US,Fort Lauderdale,FL,US,Northern America,Northern America,26.122308,-80.143379
110831,176882,2016,MLB,National,ATL,2016_National_ATL,SanPedrodeMacoris_SanPedrodeMacoris_DO,San Pedro de Macoris, ,DO,Caribbean,Latin America and the Caribbean,18.460116,-69.302739
110845,176897,2016,MLB,American,TEX,2016_American_TEX,Willemstad_CW,Willemstad, ,CW,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
110848,176897,2016,MLB,American,TEX,2016_American_TEX,Willemstad_CW,Willemstad, ,CW,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
110972,177236,2016,MLB,American,TOR,2016_American_TOR,Nashville_TN_US,Nashville,TN,US,Northern America,Northern America,36.16223,-86.774353
110986,177236,2016,MLB,American,TOR,2016_American_TOR,Nashville_TN_US,Nashville,TN,US,Northern America,Northern America,36.16223,-86.774353
111086,177403,2016,MLB,American,TB,2016_American_TB,McComb_MS_US,McComb,MS,US,Northern America,Northern America,31.243787,-90.453154
111090,177403,2016,MLB,American,TB,2016_American_TB,McComb_MS_US,McComb,MS,US,Northern America,Northern America,31.243787,-90.453154
111356,177871,2016,MLB,American,NYY,2016_American_NYY,Manati_PR,Manati, ,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
111360,177871,2016,MLB,American,TEX,2016_American_TEX,Manati_PR,Manati, ,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
111378,177871,2016,MLB,American,NYY,2016_American_NYY,Manati_PR,Manati, ,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
111382,177871,2016,MLB,American,TEX,2016_American_TEX,Manati_PR,Manati, ,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
111394,177935,2016,MLB,American,TEX,2016_American_TEX,ElCajon_CA_US,El Cajon,CA,US,Northern America,Northern America,32.794773,-116.962527
111397,177935,2016,MLB,American,TEX,2016_American_TEX,ElCajon_CA_US,El Cajon,CA,US,Northern America,Northern America,32.794773,-116.962527
111470,178100,2016,MLB,American,NYY,2016_American_NYY,OrangePark_FL_US,Orange Park,FL,US,Northern America,Northern America,30.166074,-81.706484
111472,178100,2016,MLB,American,OAK,2016_American_OAK,OrangePark_FL_US,Orange Park,FL,US,Northern America,Northern America,30.166074,-81.706484
111481,178100,2016,MLB,American,NYY,2016_American_NYY,OrangePark_FL_US,Orange Park,FL,US,Northern America,Northern America,30.166074,-81.706484
