Measure Names,Year of Season,Measure Values
Latin America and the Caribbean (A+),2005,292
Latin America and the Caribbean (A+),2004,267
Latin America and the Caribbean (A+),2003,257
Latin America and the Caribbean (A+),2002,267
Latin America and the Caribbean (A+),2001,279
Latin America and the Caribbean (A+),2000,298
Latin America and the Caribbean (A+),1999,259
Latin America and the Caribbean (A+),1998,259
Latin America and the Caribbean (A+),1997,253
Latin America and the Caribbean (A+),1996,185
Latin America and the Caribbean (A+),1995,161
Latin America and the Caribbean (A+),1994,147
Latin America and the Caribbean (A+),1993,112
Latin America and the Caribbean (A+),1992,114
Latin America and the Caribbean (A+),1991,107
Latin America and the Caribbean (A+),1990,98
Latin America and the Caribbean (A+),1989,
Latin America and the Caribbean (A+),1988,
Latin America and the Caribbean (A+),1987,
Latin America and the Caribbean (A+),1986,
Latin America and the Caribbean (A+),1985,
Latin America and the Caribbean (A+),1984,
Latin America and the Caribbean (A+),1983,
Latin America and the Caribbean (A+),1982,
Latin America and the Caribbean (A+),1981,
Latin America and the Caribbean (A+),1980,
Latin America and the Caribbean (A+),1979,
Latin America and the Caribbean (A+),1978,
Latin America and the Caribbean (A+),1977,
Latin America and the Caribbean (A+),1976,
Latin America and the Caribbean (A+),1975,
Latin America and the Caribbean (A+),1974,
Latin America and the Caribbean (A+),1973,
Latin America and the Caribbean (A+),1972,
Latin America and the Caribbean (A+),1971,
Latin America and the Caribbean (A+),1970,
Latin America and the Caribbean (A+),1969,
Latin America and the Caribbean (A+),1968,
Latin America and the Caribbean (A+),1967,
Latin America and the Caribbean (A+),1966,
Latin America and the Caribbean (A),2016,371
Latin America and the Caribbean (A),2015,360
Latin America and the Caribbean (A),2014,326
Latin America and the Caribbean (A),2013,319
Latin America and the Caribbean (A),2012,295
Latin America and the Caribbean (A),2011,276
Latin America and the Caribbean (A),2010,299
Latin America and the Caribbean (A),2009,290
Latin America and the Caribbean (A),2008,288
Latin America and the Caribbean (A),2007,276
Latin America and the Caribbean (A),2006,267
Latin America and the Caribbean (A),2005,252
Latin America and the Caribbean (A),2004,212
Latin America and the Caribbean (A),2003,243
Latin America and the Caribbean (A),2002,243
Latin America and the Caribbean (A),2001,248
Latin America and the Caribbean (A),2000,205
Latin America and the Caribbean (A),1999,199
Latin America and the Caribbean (A),1998,184
Latin America and the Caribbean (A),1997,159
Latin America and the Caribbean (A),1996,154
Latin America and the Caribbean (A),1995,120
Latin America and the Caribbean (A),1994,86
Latin America and the Caribbean (A),1993,81
Latin America and the Caribbean (A),1992,73
Latin America and the Caribbean (A),1991,78
Latin America and the Caribbean (A),1990,57
Latin America and the Caribbean (A),1989,145
Latin America and the Caribbean (A),1988,132
Latin America and the Caribbean (A),1987,124
Latin America and the Caribbean (A),1986,92
Latin America and the Caribbean (A),1985,85
Latin America and the Caribbean (A),1984,93
Latin America and the Caribbean (A),1983,85
Latin America and the Caribbean (A),1982,78
Latin America and the Caribbean (A),1981,56
Latin America and the Caribbean (A),1980,68
Latin America and the Caribbean (A),1979,64
Latin America and the Caribbean (A),1978,58
Latin America and the Caribbean (A),1977,48
Latin America and the Caribbean (A),1976,58
Latin America and the Caribbean (A),1975,48
Latin America and the Caribbean (A),1974,48
Latin America and the Caribbean (A),1973,62
Latin America and the Caribbean (A),1972,65
Latin America and the Caribbean (A),1971,67
Latin America and the Caribbean (A),1970,57
Latin America and the Caribbean (A),1969,53
Latin America and the Caribbean (A),1968,65
Latin America and the Caribbean (A),1967,57
Latin America and the Caribbean (A),1966,57
