OBJECTID,id_person,Season,classifica,league_nam,team_name,team_id,City_PoB,State_Pob,State_Abbr,Country_Po,Region_PoB,Group_PoB,PoB_Lat,PoB_Long
87,80,1960,MiLB,Florida State,Orlando,1960_FloridaState_Orlando,Drummondville_QC_CA,Drummondville,QC,CA,Northern America,Northern America,45.885278,-72.500861
90,80,1960,MiLB,South Atlantic,Macon,1960_SouthAtlantic_Macon,Drummondville_QC_CA,Drummondville,QC,CA,Northern America,Northern America,45.885278,-72.500861
115,96,1960,MiLB,American Association,Charleston,1960_AmericanAssociation_Charleston,McClellandtown_PA_US,McClellandtown,PA,US,Northern America,Northern America,39.887021,-79.866717
116,97,1960,MiLB,Western Carolina,Statesville,1960_WesternCarolina_Statesville, , , , , , ,0,0
394,342,1960,MiLB,California,Fresno,1960_California_Fresno, , , , , , ,0,0
424,359,1960,MiLB,South Atlantic,Macon,1960_SouthAtlantic_Macon,0,0,0,0,0,0,0,0
440,378,1960,MiLB,Northern,Fargo-Moorhead,1960_Northern_Fargo-Moorhead,Mifflinburg_PA_US,Mifflinburg,PA,US,Northern America,Northern America,40.917582,-77.04775
441,378,1960,MiLB,California,Modesto,1960_California_Modesto,Mifflinburg_PA_US,Mifflinburg,PA,US,Northern America,Northern America,40.917582,-77.04775
743,593,1960,MiLB,Midwest,Davenport,1960_Midwest_Davenport,WestChester_PA_US,West Chester,PA,US,Northern America,Northern America,39.959721,-75.605964
755,601,1960,MiLB,Texas,Victoria,1960_Texas_Victoria,BattleCreek_MI_US,Battle Creek,MI,US,Northern America,Northern America,42.319255,-85.182427
850,675,1960,MiLB,International,Havana/Jersey City,1960_International_Havana/JerseyCity,Matanzas_Matanzas_CU,Matanzas, ,CU,Caribbean,Latin America and the Caribbean,23.046993,-81.579315
910,729,1960,MiLB,Carolina,Winston-Salem,1960_Carolina_Winston-Salem,Covington_KY_US,Covington,KY,US,Northern America,Northern America,39.083622,-84.508371
1211,868,1960,MiLB,Northwest,Eugene,1960_Northwest_Eugene,Portland_OR_US,Portland,OR,US,Northern America,Northern America,45.520247,-122.674195
1322,951,1960,MiLB,International,Columbus,1960_International_Columbus,Trumbull_CT_US,Trumbull,CT,US,Northern America,Northern America,41.242874,-73.200669
1323,951,1960,MiLB,Southern Association,Nashville,1960_SouthernAssociation_Nashville,Trumbull_CT_US,Trumbull,CT,US,Northern America,Northern America,41.242874,-73.200669
1669,1228,1960,MiLB,Western Carolina,Gastonia,1960_WesternCarolina_Gastonia, , , , , , ,0,0
1671,1234,1960,MiLB,Pioneer,Missoula,1960_Pioneer_Missoula, , , , , , ,0,0
1686,1257,1960,MiLB,Southern Association,Memphis,1960_SouthernAssociation_Memphis,0,0,0,0,0,0,0,0
1687,1257,1960,MiLB,Texas,Tulsa,1960_Texas_Tulsa,0,0,0,0,0,0,0,0
1732,1289,1960,MiLB,Southern Association,Mobile,1960_SouthernAssociation_Mobile,Lancaster_PA_US,Lancaster,PA,US,Northern America,Northern America,40.03813,-76.305669
1734,1289,1960,MiLB,Eastern,Reading,1960_Eastern_Reading,Lancaster_PA_US,Lancaster,PA,US,Northern America,Northern America,40.03813,-76.305669
1931,1417,1960,MiLB,Northwest,Salem,1960_Northwest_Salem,LaGrande_OR_US,La Grande,OR,US,Northern America,Northern America,45.324607,-118.087869
2179,1584,1960,MiLB,Northern,Eau Claire,1960_Northern_EauClaire,Merrill_WI_US,Merrill,WI,US,Northern America,Northern America,45.180522,-89.683459
2182,1584,1960,MiLB,New York-Pennsylvania,Wellsville,1960_NewYork-Pennsylvania_Wellsville,Merrill_WI_US,Merrill,WI,US,Northern America,Northern America,45.180522,-89.683459
2311,1691,1960,MiLB,Illinois-Indiana-Iowa,Cedar Rapids,1960_Illinois-Indiana-Iowa_CedarRapids,Chetek_WI_US,Chetek,WI,US,Northern America,Northern America,45.314127,-91.651001
2452,1799,1960,MiLB,New York-Pennsylvania,Elmira,1960_NewYork-Pennsylvania_Elmira, , , , , , ,0,0
2453,1799,1960,MiLB,Appalachian,Johnson City,1960_Appalachian_JohnsonCity, , , , , , ,0,0
2530,1852,1960,MiLB,California,Stockton,1960_California_Stockton, , , , , , ,0,0
2551,1860,1960,MiLB,Midwest,Waterloo,1960_Midwest_Waterloo, , , , , , ,0,0
2606,1889,1960,MiLB,Pacific Coast,Sacramento,1960_PacificCoast_Sacramento, , , , , , ,0,0
2608,1897,1960,MiLB,Carolina,Greensboro,1960_Carolina_Greensboro, , , , , , ,0,0
2692,1960,1960,MiLB,American Association,Indianapolis,1960_AmericanAssociation_Indianapolis,Somerset_PA_US,Somerset,PA,US,Northern America,Northern America,40.008411,-79.078083
2989,2172,1960,MiLB,California,Fresno,1960_California_Fresno,SantoDomingo_DistritoNacional_DO,Santo Domingo,Distrito Nacional,DO,Caribbean,Latin America and the Caribbean,18.480197,-69.942111
2996,2172,1960,MiLB,Eastern,Springfield,1960_Eastern_Springfield,SantoDomingo_DistritoNacional_DO,Santo Domingo,Distrito Nacional,DO,Caribbean,Latin America and the Caribbean,18.480197,-69.942111
2997,2175,1960,MiLB,Illinois-Indiana-Iowa,Fox Cities,1960_Illinois-Indiana-Iowa_FoxCities, , , , , , ,0,0
2998,2175,1960,MiLB,Northern,Aberdeen,1960_Northern_Aberdeen, , , , , , ,0,0
3031,2193,1960,MiLB,Alabama-Florida,Fort Walton Beach,1960_Alabama-Florida_FortWaltonBeach, , , , , , ,0,0
3033,2193,1960,MiLB,Appalachian,Wytheville,1960_Appalachian_Wytheville, , , , , , ,0,0
3044,2212,1960,MiLB,Pacific Coast,Salt Lake City,1960_PacificCoast_SaltLakeCity, , , , , , ,0,0
3045,2212,1960,MiLB,International,Columbus,1960_International_Columbus,0,0,0,0,0,0,0,0
3205,2279,1960,MiLB,Appalachian,Wytheville,1960_Appalachian_Wytheville, , , , , , ,0,0
3244,2298,1960,MiLB,Pioneer,Pocatello,1960_Pioneer_Pocatello, , , , , , ,0,0
3245,2298,1960,MiLB,Western Carolina,Gastonia,1960_WesternCarolina_Gastonia, , , , , , ,0,0
3246,2298,1960,MiLB,Western Carolina,Statesville,1960_WesternCarolina_Statesville, , , , , , ,0,0
3548,2510,1960,MiLB,International,Columbus,1960_International_Columbus,SanFernando_CA_US,San Fernando,CA,US,Northern America,Northern America,34.281946,-118.438972
3703,2598,1960,MiLB,New York-Pennsylvania,Wellsville,1960_NewYork-Pennsylvania_Wellsville,Lancaster_PA_US,Lancaster,PA,US,Northern America,Northern America,40.03813,-76.305669
3755,2638,1960,MiLB,Sophomore,Alpine,1960_Sophomore_Alpine, , , , , , ,0,0
3901,2752,1960,MiLB,Midwest,Clinton,1960_Midwest_Clinton, , , , , , ,0,0
3947,2775,1960,MiLB,Eastern,Williamsport,1960_Eastern_Williamsport,Hampton_VA_US,Hampton,VA,US,Northern America,Northern America,37.030097,-76.345206
3949,2781,1960,MiLB,Northwest,Yakima,1960_Northwest_Yakima, , , , , , ,0,0
4011,2826,1960,MiLB,Western Carolina,Gastonia,1960_WesternCarolina_Gastonia,HighShoals_NC_US,High Shoals,NC,US,Northern America,Northern America,35.402635,-81.202302
4047,2854,1960,MiLB,Illinois-Indiana-Iowa,Lincoln,1960_Illinois-Indiana-Iowa_Lincoln, , , , , , ,0,0
4049,2854,1960,MiLB,Pioneer,Idaho Falls,1960_Pioneer_IdahoFalls, , , , , , ,0,0
4089,2866,1960,MiLB,Pioneer,Pocatello,1960_Pioneer_Pocatello, , , , , , ,0,0
4099,2867,1960,MiLB,Carolina,Raleigh,1960_Carolina_Raleigh,Springfield_MA_US,Springfield,MA,US,Northern America,Northern America,42.101483,-72.589811
4100,2867,1960,MiLB,Eastern,Allentown,1960_Eastern_Allentown,Springfield_MA_US,Springfield,MA,US,Northern America,Northern America,42.101483,-72.589811
4115,2875,1960,MiLB,Alabama-Florida,Dothan,1960_Alabama-Florida_Dothan,Brooklyn_NY_US,Brooklyn,NY,US,Northern America,Northern America,40.650104,-73.949582
4246,2948,1960,MiLB,Northwest,Salem,1960_Northwest_Salem, , , , , , ,0,0
4392,3029,1960,MiLB,American Association,Denver,1960_AmericanAssociation_Denver,Detroit_MI_US,Detroit,MI,US,Northern America,Northern America,42.348664,-83.056737
4393,3029,1960,MiLB,Texas,Victoria,1960_Texas_Victoria,Detroit_MI_US,Detroit,MI,US,Northern America,Northern America,42.348664,-83.056737
4477,3084,1960,MiLB,South Atlantic,Charlotte,1960_SouthAtlantic_Charlotte,Mayaguez_PR,Mayaguez,0,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
4549,3117,1960,MiLB,Sophomore,Odessa,1960_Sophomore_Odessa, , , , , , ,0,0
