Africa,Asia,Categories,Europe,Grand Total,Latin America and the Caribbean,Northern America,Number of Records,Oceania,Unknown
31,378,MiLB,221,75400,13716,34830,1,293,25931
,87,MLB,45,10138,1593,8303,1,31,79
