OBJECTID,id_person,Season,classifica,league_nam,team_name,team_id,City_PoB,State_Pob,State_Abbr,Country_Po,Region_PoB,Group_PoB,PoB_Lat,PoB_Long
227,675,1960,MLB,National,CIN,1960_National_CIN,Matanzas_Matanzas_CU,Matanzas, ,CU,Caribbean,Latin America and the Caribbean,23.046993,-81.579315
243,675,1960,MLB,National,CIN,1960_National_CIN,Matanzas_Matanzas_CU,Matanzas, ,CU,Caribbean,Latin America and the Caribbean,23.046993,-81.579315
464,1037,1960,MLB,American,DET,1960_American_DET,Scranton_PA_US,Scranton,PA,US,Northern America,Northern America,41.408687,-75.662129
470,1037,1960,MLB,American,DET,1960_American_DET,Scranton_PA_US,Scranton,PA,US,Northern America,Northern America,41.408687,-75.662129
483,1050,1960,MLB,National,SF,1960_National_SF,Ponce_PR, ,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
495,1050,1960,MLB,National,SF,1960_National_SF,Ponce_PR, ,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
1233,2743,1960,MLB,American,KCA/OAK,1960_American_KCA/OAK,GrassValley_CA_US,Grass Valley,CA,US,Northern America,Northern America,39.208666,-121.053123
1235,2743,1960,MLB,American,KC,1960_American_KCA/OAK,GrassValley_CA_US,Grass Valley,CA,US,Northern America,Northern America,39.208666,-121.053123
1685,3299,1960,MLB,American,NYY,1960_American_NYY, , , , , , ,0,0
1692,3299,1960,MLB,American,NYY,1960_American_NYY, , , , , , ,0,0
2192,4176,1960,MLB,American,CWS,1960_American_CWS,Concord_NC_US,Concord,NC,US,Northern America,Northern America,35.408752,-80.579511
2195,4176,1960,MLB,American,CWS,1960_American_CWS,Concord_NC_US,Concord,NC,US,Northern America,Northern America,35.408752,-80.579511
2200,4186,1960,MLB,National,PIT,1960_National_PIT,Roulette_PA_US,Roulette,PA,US,Northern America,Northern America,41.780065,-78.153898
2205,4186,1960,MLB,National,PIT,1960_National_PIT,Roulette_PA_US,Roulette,PA,US,Northern America,Northern America,41.780065,-78.153898
2813,5132,1960,MLB,National,PIT,1960_National_PIT,Springfield_IL_US,Springfield,IL,US,Northern America,Northern America,39.798976,-89.644369
2827,5132,1960,MLB,National,PIT,1960_National_PIT,Springfield_IL_US,Springfield,IL,US,Northern America,Northern America,39.798976,-89.644369
3434,6015,1960,MLB,American,DET,1960_American_DET,CalhounFalls_SC_US,Calhoun Falls,SC,US,Northern America,Northern America,34.092338,-82.595687
3436,6015,1960,MLB,American,DET,1960_American_DET,CalhounFalls_SC_US,Calhoun Falls,SC,US,Northern America,Northern America,34.092338,-82.595687
3530,6110,1960,MLB,American,KCA/OAK,1960_American_KCA/OAK,Lopez_PA_US,Lopez,PA,US,Northern America,Northern America,41.457854,-76.333549
3531,6110,1960,MLB,National,PIT,1960_National_PIT,Lopez_PA_US,Lopez,PA,US,Northern America,Northern America,41.457854,-76.333549
3532,6110,1960,MLB,American,KC,1960_American_KCA/OAK,Lopez_PA_US,Lopez,PA,US,Northern America,Northern America,41.457854,-76.333549
3533,6110,1960,MLB,National,PIT,1960_National_PIT,Lopez_PA_US,Lopez,PA,US,Northern America,Northern America,41.457854,-76.333549
3665,6318,1960,MLB,National,PIT,1960_National_PIT,Medway_OH_US,Medway,OH,US,Northern America,Northern America,39.882004,-84.009657
3669,6318,1960,MLB,National,PIT,1960_National_PIT,Medway_OH_US,Medway,OH,US,Northern America,Northern America,39.882004,-84.009657
3706,6373,1960,MLB,American,CWS,1960_American_CWS,Meadows_MD_US,Meadows,MD,US,Northern America,Northern America,38.815669,-76.849416
3710,6373,1960,MLB,American,WSH/MIN,1960_American_WSH/MIN,Meadows_MD_US,Meadows,MD,US,Northern America,Northern America,38.815669,-76.849416
3711,6373,1960,MLB,American,CWS,1960_American_CWS,Meadows_MD_US,Meadows,MD,US,Northern America,Northern America,38.815669,-76.849416
3715,6373,1960,MLB,American,WSH,1960_American_WSH/MIN,Meadows_MD_US,Meadows,MD,US,Northern America,Northern America,38.815669,-76.849416
