OBJECTID,id_person,Season,classifica,league_nam,team_name,team_id,City_PoB,State_Pob,State_Abbr,Country_Po,Region_PoB,Group_PoB,PoB_Lat,PoB_Long
555,484,2016,MiLB,International,Scranton/Wilkes-Barre,2016_International_Scranton/Wilkes-Barre,Cordoba_Veracruz_MX,Cordoba,Veracruz,MX,Central America,Latin America and the Caribbean,18.89447,-96.935289
1079,795,2016,MiLB,Pacific Coast,El Paso,2016_PacificCoast_ElPaso,Greenville_SC_US,Greenville,SC,US,Northern America,Northern America,34.851354,-82.398488
1136,837,2016,MiLB,International,Indianapolis,2016_International_Indianapolis,Charlotte_NC_US,Charlotte,NC,US,Northern America,Northern America,35.227087,-80.843127
1146,837,2016,MiLB,Eastern,Altoona,2016_Eastern_Altoona,Charlotte_NC_US,Charlotte,NC,US,Northern America,Northern America,35.227087,-80.843127
1717,1284,2016,MiLB,Pacific Coast,Memphis,2016_PacificCoast_Memphis,Louisville_KY_US,Louisville,KY,US,Northern America,Northern America,38.254238,-85.759407
1805,1341,2016,MiLB,Pacific Coast,New Orleans,2016_PacificCoast_NewOrleans,WestCovina_CA_US,West Covina,CA,US,Northern America,Northern America,34.068621,-117.938953
1843,1362,2016,MiLB,International,Gwinnett,2016_International_Gwinnett,Albuquerque_NM_US,Albuquerque,NM,US,Northern America,Northern America,35.084103,-106.650985
1844,1362,2016,MiLB,International,Louisville,2016_International_Louisville,Albuquerque_NM_US,Albuquerque,NM,US,Northern America,Northern America,35.084103,-106.650985
1876,1385,2016,MiLB,Pacific Coast,El Paso,2016_PacificCoast_ElPaso,HiddenHills_CA_US,Hidden Hills,CA,US,Northern America,Northern America,34.164019,-118.65715
1938,1420,2016,MiLB,Pacific Coast,Albuquerque,2016_PacificCoast_Albuquerque,Bakersfield_CA_US,Bakersfield,CA,US,Northern America,Northern America,35.373871,-119.019464
1996,1451,2016,MiLB,Pacific Coast,Reno,2016_PacificCoast_Reno,Pasadena_CA_US,Pasadena,CA,US,Northern America,Northern America,34.147645,-118.144478
1999,1451,2016,MiLB,International,Charlotte,2016_International_Charlotte,Pasadena_CA_US,Pasadena,CA,US,Northern America,Northern America,34.147645,-118.144478
2350,1716,2016,MiLB,International,Toledo,2016_International_Toledo,Auburndale_WI_US,Auburndale,WI,US,Northern America,Northern America,44.625824,-90.011366
2949,2138,2016,MiLB,Pacific Coast,Albuquerque,2016_PacificCoast_Albuquerque,Santiago_Santiago_DO,Santiago,Santiago,DO,Caribbean,Latin America and the Caribbean,19.450293,-70.690611
3297,2323,2016,MiLB,Pacific Coast,Omaha,2016_PacificCoast_Omaha,RedwoodCity_CA_US,Redwood City,CA,US,Northern America,Northern America,37.485215,-122.236355
3303,2323,2016,MiLB,Pacific Coast,Salt Lake,2016_PacificCoast_SaltLake,RedwoodCity_CA_US,Redwood City,CA,US,Northern America,Northern America,37.485215,-122.236355
3304,2323,2016,MiLB,California,Inland Empire,2016_California_InlandEmpire,RedwoodCity_CA_US,Redwood City,CA,US,Northern America,Northern America,37.485215,-122.236355
3345,2350,2016,MiLB,International,Lehigh Valley,2016_International_LehighValley,NewPortRichey_FL_US,New Port Richey,FL,US,Northern America,Northern America,28.247135,-82.717024
